カテゴリ,品名,単位,1単位の目安g,数え方,別名(検索用),数値の作り方,備考
ダイエット定番,オーツミルク コップ1杯,杯,200,杯(0.5刻み),おーつみるく,市販平均,
ダイエット定番,EAA/BCAAドリンク 1杯,杯,500,杯,いーえーえー/びーしーえーえー,市販平均,ほぼ0kcal
筋トレ・増量,塩むすび 1個,個,100,個,しおむすび/トレ前おにぎり,積算,トレ前の定番
筋トレ・増量,鶏むね+白米セット 1食,人前,350,人前(0.5刻み),とれごはん/トレ後セット,積算,トレ後の定番(むね150g+白米200g)
筋トレ・増量,あんこトースト 1枚,枚,90,枚,あんトースト,積算,
筋トレ・増量,はちみつトースト 1枚,枚,75,枚,はちみつとーすと,積算,
筋トレ・増量,ピーナッツバタートースト 1枚,枚,77,枚,ぴーなつとーすと,積算,
筋トレ・増量,オートミールバナナボウル 1杯,杯,250,杯(0.5刻み),ばななぼうる,積算,
筋トレ・増量,磯辺餅 2個,人前,110,人前(0.5刻み),いそべもち/磯辺焼き,積算,
筋トレ・増量,ウェイトゲイナーシェイク 1杯,杯,400,杯,げいなー/増量シェイク,市販平均,
筋トレ・増量,カーボドリンク 1杯,杯,500,杯,かーぼ/マルトデキストリン,市販平均,トレ中の糖質補給
筋トレ・増量,プロテイン牛乳割り 1杯,杯,230,杯,ぷろてぎゅうにゅう,積算,
筋トレ・増量,鶏もも+白米弁当 1食,人前,400,人前(0.5刻み),ぞうりょうべんとう,積算,増量ミールプレップ
筋トレ・増量,バナナジュース 1杯,杯,250,杯(0.5刻み),ばななじゅーす,積算,牛乳+バナナ
ダイエット定番,ゆで鶏(鶏しゃぶ) 1人前,人前,150,人前(0.5刻み),とりしゃぶ/ゆでどり,積算,
ダイエット定番,鶏むねのレンジ蒸しポン酢 1人前,人前,160,人前(0.5刻み),れんじむしどり,積算,
ダイエット定番,鶏むねピカタ 1人前,人前,150,人前(0.5刻み),ぴかた,積算,
ダイエット定番,揚げない塩唐揚げ 1人前,人前,120,人前(0.5刻み),あげないからあげ/ノンフライ,積算,
ダイエット定番,鶏むねナゲット 5個,人前,125,人前(0.5刻み),むねなげっと,積算,
ダイエット定番,ささみの梅しそ焼き 1人前,人前,120,人前(0.5刻み),うめしそ,積算,
ダイエット定番,ささみチーズ焼き 1人前,人前,130,人前(0.5刻み),ささみちーず,積算,
ダイエット定番,ガーリックチキンステーキ 1人前,人前,180,人前(0.5刻み),がーりっくちきん,積算,むね使用
ダイエット定番,蒸しささみ 2本,人前,80,人前(0.5刻み),むしささみ,積算,
ダイエット定番,鶏むねの柚子胡椒焼き 1人前,人前,150,人前(0.5刻み),ゆずこしょう,積算,
ダイエット定番,卵白オムレツ 1人前,人前,130,人前(0.5刻み),らんぱくおむれつ,積算,
ダイエット定番,全卵+卵白スクランブル 1人前,人前,140,人前(0.5刻み),らんぱくすくらんぶる,積算,
ダイエット定番,自家製味玉 1個,個,55,個,あじたま/煮卵,積算,
ダイエット定番,エッグマフィン 1個,個,120,個,えっぐまふぃん,積算,
ダイエット定番,サバ缶トマト煮 1人前,人前,220,人前(0.5刻み),さばとまと,積算,
ダイエット定番,サバ缶キムチ和え 1人前,人前,150,人前(0.5刻み),さばきむち,積算,
ダイエット定番,ツナ豆腐 1人前,人前,200,人前(0.5刻み),つなどうふ,積算,
ダイエット定番,エビとブロッコリーの炒め 1人前,人前,180,人前(0.5刻み),えびぶろっこりー,積算,
ダイエット定番,魚肉ソーセージ 1本,本,70,本,ぎょにそ/フィッシュソーセージ,市販平均,
ダイエット定番,もち麦100%飯 茶碗1杯,杯,150,杯(0.5刻み),もちむぎひゃくぱー,転記,
ダイエット定番,しらたき混ぜごはん 茶碗1杯,杯,180,杯(0.5刻み),しらたきごはん,積算,
ダイエット定番,カリフラワーライスチャーハン 1人前,人前,280,人前(0.5刻み),かりふらちゃーはん,積算,
ダイエット定番,オートミールチャーハン 1人前,人前,250,人前(0.5刻み),おーつちゃーはん,積算,
ダイエット定番,オートミールリゾット 1杯,杯,280,杯(0.5刻み),おーつりぞっと,積算,
ダイエット定番,ゼンパスタ 1人前,人前,250,人前(0.5刻み),ぜんぱすた/乾燥しらたき麺,積算,
ダイエット定番,プロテインスムージー(バナナ) 1杯,杯,300,杯,ぷろてすむーじー,積算,
ダイエット定番,プロテインヨーグルト 1杯,杯,180,杯(0.5刻み),ぷろてよーぐると,積算,オイコス+プロテイン
ダイエット定番,プロテインコーヒー 1杯,杯,250,杯,ぷろてこーひー/カフェオレプロテイン,積算,
ダイエット定番,プロテインアイス(自家製) 1個,個,100,個,ぷろてあいす,積算,
ダイエット定番,プロテインパンケーキ 1人前,人前,180,人前(0.5刻み),ぷろてぱんけーき,積算,一般形(のりレシピ版と別)
ダイエット定番,きのこのソテー 1人前,人前,120,人前(0.5刻み),きのこそてー,積算,
ダイエット定番,しらたき明太パスタ風 1人前,人前,220,人前(0.5刻み),しらたきめんたい,積算,
ダイエット定番,キャベツの塩だれ和え 小鉢1,人前,90,人前(0.5刻み),しおだれきゃべつ,積算,
ダイエット定番,豆腐グラタン 1人前,人前,250,人前(0.5刻み),とうふぐらたん,積算,
ダイエット定番,MCTオイル 小さじ1,杯,4,杯,えむしーてぃーおいる,転記,
ダイエット定番,粉飴(マルトデキストリン) 大さじ1,杯,9,杯,こなあめ,市販平均,
コンビニ・市販,高たんぱくヨーグルト(パルテノ型) 1個,個,100,個,ぱるての/高たんぱくよーぐると,市販平均,
コンビニ・市販,グリルチキン(コンビニ) 1個,個,80,個,ぐりるちきんこんびに,市販平均,
コンビニ・市販,砂肝スモーク 1袋,個,60,個,すなぎもすもーく,市販平均,
コンビニ・市販,プロテインin ゼリー飲料 1個,個,180,個,ぷろていんぜりーいんりょう,市販平均,
コンビニ・市販,高たんぱく豆乳 1本,本,200,本,こうたんぱくとうにゅう,市販平均,
コンビニ・市販,もち麦おにぎり 1個,個,110,個,もちむぎおにぎり,市販平均,
コンビニ・市販,玄米おにぎり 1個,個,110,個,げんまいおにぎり,市販平均,
コンビニ・市販,サラダチキンの全粒粉サンド 1包装,個,150,個,ちきんさんど,市販平均,
コンビニ・市販,サラダチキン(ハーブ) 1袋,個,110,個,はーぶちきん,市販平均,
コンビニ・市販,サラダチキン(スモーク) 1袋,個,110,個,すもーくさらだちきん,市販平均,
コンビニ・市販,サラダチキン(タンドリー・スパイシー) 1袋,個,110,個,たんどりーちきん,市販平均,
コンビニ・市販,サラダチキン(レモン) 1袋,個,110,個,れもんちきん,市販平均,
コンビニ・市販,ほぐしサラダチキン 1袋,個,80,個,ほぐしちきん,市販平均,
コンビニ・市販,ささみソーセージ 1本,本,65,本,ささみそーせーじ,市販平均,
コンビニ・市販,こんにゃくゼリー 1個,個,25,個,こんにゃくぜりー,市販平均,
ダイエット定番,プロテイン(WPI) 1杯,杯,30,杯,あいそれーと/WPI,市販平均,
ダイエット定番,プロテイン(カゼイン) 1杯,杯,30,杯,かぜいん,市販平均,
ダイエット定番,ヨーグルト(プレーン無糖) 100g,g,100,g(10刻み),ぷれーんよーぐると,転記,
ダイエット定番,ヨーグルト(低脂肪無糖) 100g,g,100,g(10刻み),ていしぼうよーぐると,転記,
ダイエット定番,豆乳ヨーグルト 100g,g,100,g(10刻み),とうにゅうよーぐると/大豆ヨーグルト,転記,
素材(追加),鶏むね(皮つき) 100g,g,100,g(10刻み),むねかわつき,転記,
素材(追加),鶏むねひき肉 100g,g,100,g(10刻み),むねひきにく,転記,
主食,ごはん どんぶり1杯,杯,300,杯(0.5刻み),どんぶりめし,転記,
主食,おにぎり(おかか) 1個,個,110,個,おかか,積算,
魚料理,サバ味噌煮缶 1缶,個,190,個,さばみそかん,転記,
卵・大豆・乳,充填豆腐(3連) 1個,個,150,個,じゅうてんどうふ/小分け豆腐,転記,
卵・大豆・乳,豆腐干 1人前,人前,100,人前(0.5刻み),とうふかん/干し豆腐,市販平均,
卵・大豆・乳,さけるチーズ 1本,本,25,本,さけるちーず,市販平均,
間食・デザート,くるみ 1つかみ,人前,15,人前(0.5刻み),くるみ/ウォールナッツ,転記,
間食・デザート,カシューナッツ 1つかみ,人前,15,人前(0.5刻み),かしゅー,転記,
麺類,十割そば(ゆで) 1人前,人前,300,人前(0.5刻み),じゅうわりそば,転記,つゆ込み
肉料理,焼き鳥(もも・塩) 1本,本,45,本,やきとりしお,積算,
間食・デザート,ゆであずき(あんこ) 大さじ1,杯,20,杯,あんこ/こしあん/つぶあん,転記,
素材(追加),キヌア(炊) 100g,g,100,g(10刻み),きぬあ,転記,
素材(追加),紫芋(冷) 100g,g,100,g(10刻み),むらさきいも,転記,
間食・デザート,マカダミアナッツ 1つかみ,人前,15,人前(0.5刻み),まかだみあ,転記,
調味・トッピング,えごま油 小さじ1,杯,4,杯,えごまゆ,転記,加熱NG
調味・トッピング,アマニ油 小さじ1,杯,4,杯,あまにゆ/亜麻仁油,転記,加熱NG
卵・大豆・乳,テンペ 100g,g,100,g(10刻み),てんぺ,転記,発酵大豆
素材(追加),ラム肉 100g,g,100,g(10刻み),らむにく/羊肉,転記,
ダイエット定番,キヌアサラダ 1皿,人前,200,人前(0.5刻み),きぬあさらだ,積算,
ダイエット定番,アボカドトースト 1枚,枚,120,枚,あぼかどとーすと,積算,
かんたん・ズボラ飯,アボカド納豆 1人前,人前,120,人前(0.5刻み),あぼかどなっとう,積算,
かんたん・ズボラ飯,ブルーベリーヨーグルト 1杯,杯,150,杯(0.5刻み),ぶるーべりーよーぐると,積算,
かんたん・ズボラ飯,りんごヨーグルト 1杯,杯,180,杯(0.5刻み),りんごよーぐると,積算,
ダイエット定番,テンペ焼き 1人前,人前,100,人前(0.5刻み),てんぺやき,積算,
ダイエット定番,もち麦入り野菜スープ 1杯,杯,300,杯(0.5刻み),もちむぎすーぷ,積算,
ダイエット定番,蒸しじゃがいも(冷) 1個,個,120,個,ひやしじゃが/冷やしいも,転記,レジスタントスターチ
ダイエット定番,冷やし焼き芋 1本,本,200,本(0.5刻み),ひやしやきいも,転記,
かんたん・ズボラ飯,納豆ごはん 1杯,杯,200,杯(0.5刻み),なっとうごはん,積算,
かんたん・ズボラ飯,納豆卵かけごはん 1杯,杯,260,杯(0.5刻み),なっとうたまごかけ/納豆TKG,積算,
かんたん・ズボラ飯,サバ缶ごはん 1杯,杯,250,杯(0.5刻み),さばかんごはん,積算,
かんたん・ズボラ飯,しらす丼 1杯,杯,180,杯(0.5刻み),しらすどん,積算,
かんたん・ズボラ飯,マグロ納豆 1人前,人前,120,人前(0.5刻み),まぐろなっとう,積算,
かんたん・ズボラ飯,キムチ奴 1人前,人前,180,人前(0.5刻み),きむちやっこ,積算,
かんたん・ズボラ飯,めかぶ奴 1人前,人前,200,人前(0.5刻み),めかぶやっこ,積算,
かんたん・ズボラ飯,はちみつヨーグルト 1杯,杯,120,杯(0.5刻み),はちみつよーぐると,積算,
かんたん・ズボラ飯,バナナヨーグルト 1杯,杯,200,杯(0.5刻み),ばななよーぐると,積算,
かんたん・ズボラ飯,納豆そば 1人前,人前,350,人前(0.5刻み),なっとうそば,積算,
かんたん・ズボラ飯,オートミール茶漬け 1杯,杯,250,杯(0.5刻み),おーつちゃづけ,積算,和風だし
かんたん・ズボラ飯,サバ缶味噌汁 1杯,杯,250,杯(0.5刻み),さばかんみそしる,積算,
かんたん・ズボラ飯,アボカド醤油(刺身風) 1人前,人前,80,人前(0.5刻み),あぼかどしょうゆ,積算,
かんたん・ズボラ飯,ツナ玉ねぎサラダ 1人前,人前,120,人前(0.5刻み),つなたまねぎ,積算,
かんたん・ズボラ飯,ちくわきゅうり 1人前,人前,80,人前(0.5刻み),ちくわきゅうり,積算,
素材(追加),オクラ 5本,人前,40,人前(0.5刻み),おくら,転記,
素材(追加),パプリカ 1/2個,個,70,個,ぱぷりか,転記,
素材(追加),ズッキーニ 1/2本,個,80,個,ずっきーに,転記,
素材(追加),アスパラガス 3本,人前,60,人前(0.5刻み),あすぱらがす,転記,
素材(追加),カリフラワー 100g,g,100,g(10刻み),かりふらわー,転記,
素材(追加),水菜 100g,g,100,g(10刻み),みずな,転記,
素材(追加),チンゲン菜 1株,個,100,個,ちんげんさい,転記,
素材(追加),ニラ 1/2束,個,50,個,にら,転記,
素材(追加),ゴーヤ 1/2本,個,100,個,ごーや/にがうり,転記,
素材(追加),とうもろこし 1本,本,175,本(0.5刻み),とうもろこし/コーン,転記,可食部
素材(追加),さやいんげん 10本,人前,50,人前(0.5刻み),いんげん,転記,
素材(追加),ミニトマト 5個,人前,75,人前(0.5刻み),みにとまと/プチトマト,転記,
素材(追加),セロリ 1本,本,65,本,せろり,転記,
素材(追加),かぶ 1個,個,80,個,かぶ,転記,
素材(追加),春菊 100g,g,100,g(10刻み),しゅんぎく,転記,
素材(追加),しいたけ(生) 3枚,人前,45,人前(0.5刻み),しいたけ,転記,
素材(追加),エリンギ 1本,本,50,本,えりんぎ,転記,
素材(追加),なめこ 1袋,個,100,個,なめこ,転記,
素材(追加),手羽元 1本,本,60,本,てばもと,転記,可食部
素材(追加),手羽先 1本,本,50,本,てばさき,転記,可食部
素材(追加),豚こま切れ 100g,g,100,g(10刻み),ぶたこま,転記,
素材(追加),牛切り落とし 100g,g,100,g(10刻み),ぎゅうきりおとし,転記,
素材(追加),春雨(乾) 30g,g,30,g(10刻み),はるさめ,転記,
